"País de Origen/Sector, subsector y rama",,Total 2006,Total 2007,Total 2008,Total 2009,Total 2010,Total 2011,Total 2012,Total 2013,Total 2014,Total 2015,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020,Total 2021,Total 2022,Total 2023,Total general
Alemania,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,C,C,C,0.0,0.0,C,C,C,0.0,14.3
Alemania,111 Agricultura,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,C,C,C,0.0,0.0,C,C,C,0.0,14.3
Alemania,"1111 Cultivo de semillas oleaginosas, leguminosas y cereales",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,C,0.0,C
Alemania,1112 Cultivo de hortalizas,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,C
Alemania,1113 Cultivo de frutales y nueces,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Alemania,21 Minería,C,6.3,C,C,C,C,C,C,C,C,C,C,C,0.0,0.0,C,C,C,173.2
Alemania,211 Extracción de petróleo y gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C,C,0.0,0.0,C,C,0.0,131.0
Alemania,2111 Extracción de petróleo y gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C,C,0.0,0.0,C,C,0.0,131.0
Alemania,"212 Minería de minerales metálicos y no metálicos, excepto petróleo y gas",C,6.3,C,C,C,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,36.0
Alemania,2122 Minería de minerales metálicos,C,C,C,C,C,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2
