País de Origen,"Sector, subsector y rama",Total 2006,Total 2007,Total 2008,Total 2009,Total 2010,Total 2011,Total 2012,Total 2013,Total 2014,Total 2015,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020,Total 2021,Total 2022,Total 2023,Total general
Canadá,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.1,0.0,0.2,C,C,7.9,7.0,2.8,0.4,2.5,2.2,C,-0.5,C,C,C,C,C,29.6
Canadá,111 Agricultura,0.1,0.0,0.1,C,C,C,C,C,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.2
Canadá,1112 Cultivo de hortalizas,0.1,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.1
Canadá,1113 Cultivo de frutales y nueces,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canadá,"1114 Cultivo en invernaderos y otras estructuras agrícolas protegidas, y floricultura",0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Canadá,1119 Otros cultivos,0.0,0.0,C,C,0.0,0.0,0.0,C,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.1
Canadá,112 Cría y explotación de animales,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,C,0.0,1.7
Canadá,1122 Explotación de porcinos,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Canadá,1125 Acuicultura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,C
Canadá,1129 Explotación de otros animales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C
Canadá,115 Servicios relacionados con las actividades agropecuarias y forestales,0.0,C,C,C,0.0,7.9,7.0,2.8,0.4,2.5,C,C,-2.2,C,C,C,C,C,27.7
Canadá,1151 Servicios relacionados con la agricultura,0.0,C,C,C,0.0,7.9,7.0,2.8,0.4,2.5,C,C,-2.2,C,C,C,C,C,27.7
Canadá,1152 Servicios relacionados con la cría y explotación de animales,0.0,C,0.0,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Canadá,21 Minería,326.3,"1,088.3","3,526.6",741.1,891.1,405.9,716.1,"3,563.6","1,124.2",-50.8,243.2,374.4,627.1,772.9,195.4,"1,686.3",495.4,C,"16,907.8"
Canadá,211 Extracción de petróleo y gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,C,C,0.0,C,0.0,C
Canadá,2111 Extracción de petróleo y gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,C,C,0.0,C,0.0,C
Canadá,"212 Minería de minerales metálicos y no metálicos, excepto petróleo y gas",315.7,"1,079.3","3,513.6",718.2,871.1,386.1,700.2,"3,519.0","1,110.7",-50.8,243.2,532.6,594.2,682.2,155.7,"1,673.1",413.2,C,"16,637.8"
Canadá,2121 Minería de carbón mineral,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Canadá,2122 Minería de minerales metálicos,314.7,"1,075.4","3,502.9",715.3,857.6,378.5,695.8,"3,518.2","1,110.7",-50.8,243.2,532.6,594.2,682.2,152.5,"1,670.5",401.2,C,"16,575.0"
