"País de Origen/Sector, subsector y rama",,Total 2006,Total 2007,Total 2008,Total 2009,Total 2010,Total 2011,Total 2012,Total 2013,Total 2014,Total 2015,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020,Total 2021,Total 2022,Total 2023,Total general
Estados Unidos de América,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",-4.5,2.1,51.6,14.7,81.6,39.7,94.8,49.7,93.1,62.8,62.6,138.7,-20.1,74.3,45.5,177.8,-19.3,5.4,950.5
Estados Unidos de América,111 Agricultura,-3.0,4.5,31.0,0.8,21.0,23.9,44.2,41.3,36.2,30.2,44.9,54.3,14.4,38.7,28.0,-1.6,-40.3,9.3,377.8
Estados Unidos de América,"1111 Cultivo de semillas oleaginosas, leguminosas y cereales",C,C,C,C,C,0.0,0.0,0.1,C,0.0,C,0.0,0.0,C,0.0,0.0,0.0,C,-0.4
Estados Unidos de América,1112 Cultivo de hortalizas,-4.4,2.4,28.9,C,12.0,0.0,20.0,C,17.4,22.6,46.2,49.1,12.6,37.8,-12.5,23.9,6.1,C,265.9
Estados Unidos de América,1113 Cultivo de frutales y nueces,0.6,C,4.1,0.9,8.6,14.4,23.6,38.0,C,9.3,C,C,C,3.2,12.7,C,C,C,114.6
Estados Unidos de América,"1114 Cultivo en invernaderos y otras estructuras agrícolas protegidas, y floricultura",0.0,0.0,0.0,0.0,0.0,C,0.0,C,0.0,0.0,C,C,C,C,27.2,C,C,0.0,28.8
Estados Unidos de América,1119 Otros cultivos,0.4,C,0.0,0.0,0.5,C,0.6,3.1,C,C,0.0,0.0,0.0,C,C,C,C,0.0,-31.0
Estados Unidos de América,112 Cría y explotación de animales,C,5.0,9.2,0.9,7.6,5.3,22.5,8.1,20.1,C,8.5,C,C,C,C,C,C,0.0,310.8
Estados Unidos de América,1121 Explotación de bovinos,C,0.0,C,C,C,0.7,0.3,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6
Estados Unidos de América,1122 Explotación de porcinos,0.0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,0.0,296.5
Estados Unidos de América,1123 Explotación avícola,0.0,0.0,C,0.0,C,C,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,11.6
Estados Unidos de América,1124 Explotación de ovinos y caprinos,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Estados Unidos de América,1125 Acuicultura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.1
Estados Unidos de América,1129 Explotación de otros animales,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Estados Unidos de América,113 Aprovechamiento forestal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,C,C,0.0,0.0,0.0,0.0,C
Estados Unidos de América,1132 Viveros forestales y recolección de productos forestales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,C,C,0.0,0.0,0.0,0.0,C
Estados Unidos de América,"114 Pesca, caza y captura",C,C,C,0.0,C,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
Estados Unidos de América,1141 Pesca,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
Estados Unidos de América,1142 Caza y captura,0.0,0.0,0.0,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Estados Unidos de América,115 Servicios relacionados con las actividades agropecuarias y forestales,-1.5,-8.0,11.4,13.1,52.9,10.6,28.1,0.3,36.8,11.3,9.2,63.8,-46.9,14.7,17.5,40.9,11.0,C,261.3
Estados Unidos de América,1151 Servicios relacionados con la agricultura,-1.5,-8.0,11.2,12.9,53.8,10.7,29.1,1.1,36.8,11.3,9.2,63.8,-46.9,14.7,17.5,40.9,11.0,C,263.6
Estados Unidos de América,1152 Servicios relacionados con la cría y explotación de animales,0.0,C,0.0,0.0,C,C,0.0,C,C,0.0,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0
Estados Unidos de América,1153 Servicios relacionados con el aprovechamiento forestal,0.0,C,C,C,C,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Estados Unidos de América,21 Minería,86.6,60.4,377.1,198.5,-35.8,115.0,267.7,127.3,365.8,846.4,300.2,555.2,282.3,564.0,334.8,789.3,499.7,233.0,"5,967.4"
Estados Unidos de América,211 Extracción de petróleo y gas,-10.6,-36.7,26.2,67.9,-208.5,-155.8,316.5,-53.0,228.7,510.5,167.3,449.6,143.0,530.9,292.9,663.9,116.1,86.9,"3,135.8"
Estados Unidos de América,2111 Extracción de petróleo y gas,-10.6,-36.7,26.2,67.9,-208.5,-155.8,316.5,-53.0,228.7,510.5,167.3,449.6,143.0,530.9,292.9,663.9,116.1,86.9,"3,135.8"
Estados Unidos de América,"212 Minería de minerales metálicos y no metálicos, excepto petróleo y gas",108.9,93.4,340.5,130.5,158.0,157.3,-80.3,200.6,140.6,77.1,99.0,68.6,109.1,3.3,-69.1,102.8,260.3,146.1,"2,046.8"
Estados Unidos de América,2121 Minería de carbón mineral,C,C,C,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Estados Unidos de América,2122 Minería de minerales metálicos,108.9,93.5,340.6,136.2,155.7,121.9,-82.9,200.5,140.6,77.1,91.9,55.9,114.9,-5.7,-73.7,-27.5,215.4,131.0,"1,794.3"
Estados Unidos de América,2123 Minería de minerales no metálicos,0.0,C,-0.1,-5.7,2.3,35.4,C,0.0,0.0,C,C,C,-5.9,9.0,4.6,C,C,C,252.4
Estados Unidos de América,213 Servicios relacionados con la minería,-11.8,3.7,10.4,0.1,14.8,113.5,31.5,-20.4,-3.5,258.8,33.9,37.0,30.1,29.8,111.0,22.6,123.3,0.0,784.8
Estados Unidos de América,2131 Servicios relacionados con la minería,-11.8,3.7,10.4,0.1,14.8,113.5,31.5,-20.4,-3.5,258.8,33.9,37.0,30.1,29.8,111.0,22.6,123.3,0.0,784.8
Estados Unidos de América,"22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",-3.9,849.1,297.2,-17.1,-11.0,96.2,23.0,463.4,-42.0,54.0,35.5,46.2,322.0,111.8,183.5,127.4,52.4,C,"2,593.3"
Estados Unidos de América,"221 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",-3.9,849.1,297.2,-17.1,-11.0,96.2,23.0,463.4,-42.0,54.0,35.5,46.2,322.0,111.8,183.5,127.4,52.4,C,"2,593.3"
Estados Unidos de América,"2211 Generación, transmisión, distribución y comercialización de energía eléctrica",2.1,848.7,284.3,-22.3,-10.9,33.7,12.7,453.0,-39.7,58.7,28.2,29.9,320.3,110.9,178.5,132.4,52.4,C,"2,478.4"
Estados Unidos de América,2212 Suministro de gas natural por ductos al consumidor final,0.0,0.0,0.0,0.0,C,C,C,1.7,C,C,C,14.8,C,0.9,C,-5.0,0.0,0.0,43.5
Estados Unidos de América,"2213 Captación, tratamiento y suministro de agua",-6.0,C,12.9,5.3,-0.1,C,6.6,8.8,C,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,71.4
Estados Unidos de América,23 Construcción,260.3,"1,278.5",209.0,330.7,130.9,-45.3,248.3,431.5,180.2,268.1,392.8,453.1,303.4,-27.2,209.9,-44.5,211.7,52.2,"4,843.5"
Estados Unidos de América,236 Edificación,142.9,36.4,61.5,167.9,14.5,-55.3,115.3,60.0,108.7,48.2,200.9,114.2,35.3,42.4,32.0,4.8,-15.4,C,"1,114.2"
Estados Unidos de América,2361 Edificación residencial,56.7,-5.4,30.3,56.7,13.6,-43.7,8.6,5.3,14.5,7.7,0.4,6.0,2.0,6.4,2.2,0.0,-25.6,0.0,135.6
Estados Unidos de América,2362 Edificación no residencial,86.2,41.8,31.2,111.2,0.9,-11.6,106.7,54.6,94.2,40.4,200.5,108.2,33.3,36.0,29.9,4.8,10.2,C,978.6
