Sector,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total general
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",53,56,68,31,58,52,59,65,41,38,34,35,43,46,46,37,31,8,445
21 Minería,175,218,220,186,188,223,190,194,120,107,100,136,149,150,132,123,104,28,1113
"22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",53,60,59,46,59,48,64,132,104,117,124,136,154,130,110,99,71,15,822
23 Construcción,291,354,261,224,237,293,293,305,268,230,237,235,233,205,157,152,116,19,2576
31-33 Industrias manufactureras,"2,798","2,714","2,539","2,315","2,275","2,354","2,188","2,246","2,004","1,906","2,047","1,926","2,043","2,104","1,980","1,896","1,835",983,9707
43 Comercio al por mayor,"1,207","1,151","1,010",915,832,894,795,934,766,590,466,505,606,644,460,522,441,124,7779
46 Comercio al por menor,91,113,148,126,183,248,246,262,165,140,129,128,139,141,88,106,98,11,1742
"48-49 Transporte, correos y almacenamiento",108,110,99,95,95,99,113,124,98,91,87,90,113,102,82,83,78,16,762
51 Información en medios masivos,209,193,205,175,188,143,162,190,121,119,106,112,131,135,91,124,99,23,1479
52 Servicios financieros y de seguros,203,199,243,174,214,212,179,193,150,159,149,148,166,195,162,181,169,42,1511
53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,"1,230","1,234",890,551,564,569,477,444,302,278,210,242,293,262,163,269,231,26,5892
"54 Servicios profesionales, científicos y técnicos",378,523,445,333,433,588,579,725,479,387,369,383,540,576,329,455,364,56,6062
55 Corporativos,0,0,0,0,0,0,0,0,0,0,0,C,C,C,0,0,3,C,7
"56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",501,362,389,384,339,242,261,269,204,146,112,114,118,104,78,116,99,5,2844
61 Servicios educativos,42,39,40,34,17,26,32,41,11,15,12,10,21,12,6,6,7,3,299
62 Servicios de salud y de asistencia social,37,37,35,34,24,40,20,39,29,35,27,22,28,26,20,22,13,C,375
"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",47,64,47,46,54,62,49,77,56,49,30,39,52,38,21,37,28,C,651
72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,263,230,193,151,134,135,115,187,110,107,87,120,100,107,74,78,86,8,1659
81 Otros servicios excepto actividades gubernamentales,63,72,47,48,42,53,49,64,37,48,35,50,68,48,44,28,32,6,577
Total general,"7,749","7,729","6,938","5,868","5,936","6,281","5,871","6,491","5,065","4,562","4,361","4,432","4,998","5,026","4,043","4,334","3,905","1,378","46,302"
