"País de Origen/Sector, subsector y rama",,Total 2006,Total 2007,Total 2008,Total 2009,Total 2010,Total 2011,Total 2012,Total 2013,Total 2014,Total 2015,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020,Total 2021,Total 2022,Total 2023,Total general
España,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.1,-0.6,C,-0.1,-13.6,1.9,9.4,6.9,0.5,C,0.0,0.0,1.4,0.5,-4.5,2.6,8.5,0.0,11.3
España,111 Agricultura,0.0,C,0.0,-0.1,0.0,C,C,C,C,0.0,0.0,0.0,C,0.0,C,C,C,0.0,13.5
España,"1111 Cultivo de semillas oleaginosas, leguminosas y cereales",0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
España,1112 Cultivo de hortalizas,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
España,1113 Cultivo de frutales y nueces,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0
España,"1114 Cultivo en invernaderos y otras estructuras agrícolas protegidas, y floricultura",0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,C
España,1119 Otros cultivos,0.0,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C,0.0,C,0.0,9.8
España,112 Cría y explotación de animales,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,C
España,1121 Explotación de bovinos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,C
España,1125 Acuicultura,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
España,113 Aprovechamiento forestal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,C
España,1132 Viveros forestales y recolección de productos forestales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,C
España,"114 Pesca, caza y captura",0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
España,1141 Pesca,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
España,115 Servicios relacionados con las actividades agropecuarias y forestales,0.1,-0.6,C,C,0.5,C,C,3.2,C,C,0.0,0.0,C,C,-5.5,C,C,0.0,9.1
España,1151 Servicios relacionados con la agricultura,0.1,-0.6,C,C,0.5,C,C,3.2,C,0.0,0.0,0.0,C,C,-5.5,C,C,0.0,9.1
España,1152 Servicios relacionados con la cría y explotación de animales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
España,21 Minería,C,-2.2,C,C,0.0,-18.6,11.8,C,0.7,0.0,20.2,-4.7,127.4,58.4,121.8,77.5,18.5,-26.7,385.9
España,211 Extracción de petróleo y gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.7,127.4,54.2,C,77.5,38.9,C,319.8
España,2111 Extracción de petróleo y gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.7,127.4,54.2,C,77.5,38.9,C,319.8
España,"212 Minería de minerales metálicos y no metálicos, excepto petróleo y gas",C,C,C,C,0.0,-18.6,C,0.0,C,0.0,C,C,0.0,0.0,C,0.0,C,C,28.5
España,2122 Minería de minerales metálicos,C,C,0.0,C,C,0.0,0.0,0.0,C,0.0,C,C,0.0,0.0,C,0.0,C,C,46.8
España,2123 Minería de minerales no metálicos,0.0,0.0,C,0.0,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.3
España,213 Servicios relacionados con la minería,C,C,C,0.0,0.0,0.0,C,C,C,0.0,C,0.0,0.0,C,C,0.0,0.0,0.0,37.6
