País de Origen,"Sector, subsector y rama",Total 2006,Total 2007,Total 2008,Total 2009,Total 2010,Total 2011,Total 2012,Total 2013,Total 2014,Total 2015,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020,Total 2021,Total 2022,Total 2023,Total general
Japón,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",C,C,0.0,0.0,0.0,C,C,C,C,0.0,0.0,0.0,C,0.0,C,C,0.0,0.0,3.3
Japón,111 Agricultura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,C
Japón,1112 Cultivo de hortalizas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,C
Japón,"1114 Cultivo en invernaderos y otras estructuras agrícolas protegidas, y floricultura",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Japón,113 Aprovechamiento forestal,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Japón,1132 Viveros forestales y recolección de productos forestales,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Japón,"114 Pesca, caza y captura",C,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Japón,1141 Pesca,C,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Japón,115 Servicios relacionados con las actividades agropecuarias y forestales,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,1.2
Japón,1151 Servicios relacionados con la agricultura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,C
Japón,1152 Servicios relacionados con la cría y explotación de animales,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Japón,21 Minería,0.0,C,0.0,0.0,0.0,0.0,C,0.0,0.0,C,C,C,C,C,0.0,C,C,C,155.2
Japón,211 Extracción de petróleo y gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,C,0.0,C,C,0.0,C
Japón,2111 Extracción de petróleo y gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,C,0.0,C,C,0.0,C
Japón,"212 Minería de minerales metálicos y no metálicos, excepto petróleo y gas",0.0,C,0.0,0.0,0.0,0.0,C,0.0,0.0,C,C,C,0.0,0.0,0.0,0.0,0.0,C,118.7
Japón,2122 Minería de minerales metálicos,0.0,C,0.0,0.0,0.0,0.0,C,0.0,0.0,C,C,C,0.0,0.0,0.0,0.0,0.0,C,118.7
Japón,"22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",-0.8,79.2,0.0,-63.2,457.5,C,C,259.6,-147.4,-7.6,-4.4,22.4,3.7,58.5,C,C,C,C,902.2
Japón,"221 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",-0.8,79.2,0.0,-63.2,457.5,C,C,259.6,-147.4,-7.6,-4.4,22.4,3.7,58.5,C,C,C,C,902.2
Japón,"2211 Generación, transmisión, distribución y comercialización de energía eléctrica",C,83.1,0.0,-63.0,457.7,C,0.0,259.6,-158.8,-21.8,-7.8,22.4,3.2,58.5,C,C,C,C,786.8
Japón,2212 Suministro de gas natural por ductos al consumidor final,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Japón,"2213 Captación, tratamiento y suministro de agua",C,C,0.0,C,C,0.0,0.0,0.0,0.0,4.9,C,0.0,C,0.0,0.0,0.0,C,0.0,0.7
Japón,23 Construcción,26.7,-0.1,C,10.7,C,C,37.1,25.6,17.0,43.5,84.3,64.8,17.5,-6.0,5.4,C,-37.8,0.0,312.1
Japón,236 Edificación,C,-4.6,0.0,12.2,0.0,0.0,0.0,0.0,C,16.5,C,C,C,C,0.0,C,0.0,0.0,88.9
Japón,2361 Edificación residencial,C,C,0.0,12.2,0.0,0.0,0.0,0.0,C,C,C,0.0,0.0,C,0.0,0.0,0.0,0.0,44.8
Japón,2362 Edificación no residencial,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,C,C,0.0,0.0,C,0.0,0.0,44.1
Japón,237 Construcción de obras de ingeniería civil,9.5,C,C,-1.5,C,C,C,18.0,C,C,-11.3,53.7,-7.5,C,C,C,-5.4,0.0,123.3
Japón,"2371 Construcción de obras para el suministro de agua, petróleo, gas, energía eléctrica y telecomunicaciones",9.5,C,C,-1.5,C,C,C,18.0,C,C,-11.3,53.7,C,C,C,C,-5.4,0.0,120.5
Japón,2379 Otras construcciones de ingeniería civil,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,2.8
Japón,238 Trabajos especializados para la construcción,C,C,0.0,C,0.0,0.0,C,C,C,C,C,0.0,C,0.0,C,0.0,C,0.0,99.9
Japón,2382 Instalaciones y equipamiento en construcciones,C,C,0.0,C,0.0,0.0,C,C,C,C,C,0.0,C,0.0,C,0.0,C,0.0,99.9
Japón,2383 Trabajos de acabados en edificaciones,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Japón,31-33 Industrias manufactureras,448.5,603.3,781.6,728.5,752.1,683.3,"1,858.0","1,290.0","2,486.2","1,845.8","1,541.2","2,150.2","2,111.7","1,175.6","1,175.7",942.1,"2,081.3",224.5,"22,879.5"
Japón,311 Industria alimentaria,C,C,C,43.2,C,54.8,46.5,C,43.9,C,10.8,10.4,39.7,22.7,13.9,C,C,C,543.5
Japón,3111 Elaboración de alimentos para animales,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Japón,"3113 Elaboración de azúcares, chocolates, dulces y similares",0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,C,C,C,C,C,C,C,0.0,C
Japón,"3114 Conservación de frutas, verduras, guisos y otros alimentos preparados",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,C,C,C,C,C,C,C
