País de Origen,Entidad federativa,Total 2006,Total 2007,Total 2008,Total 2009,Total 2010,Total 2011,Total 2012,Total 2013,Total 2014,Total 2015,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020,Total 2021,Total 2022,Total 2023,Total general
Alemania,Aguascalientes,5.3,4.1,3.3,1.5,0.4,1.0,0.8,3.1,-1.1,129.8,118.6,251.4,154.4,13.3,44.1,-2.5,24.0,189.6,941.0
Alemania,Baja California,44.1,39.8,27.6,-8.2,43.3,4.6,43.3,35.0,31.0,6.4,20.0,6.7,15.5,30.4,12.7,35.7,8.3,12.2,408.4
Alemania,Baja California Sur,0.5,0.9,0.3,0.0,C,C,C,0.2,C,102.8,0.4,0.1,1.1,1.5,0.0,3.9,-0.6,0.3,123.2
Alemania,Campeche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,19.0,C,C,C,C,0.0,19.7
Alemania,Chiapas,0.0,0.0,C,0.0,0.0,C,C,C,C,0.1,C,0.2,1.3,5.8,C,1.5,C,C,9.8
Alemania,Chihuahua,45.8,19.7,24.1,35.4,44.2,20.8,9.1,-18.1,46.9,35.9,25.7,4.5,34.1,39.4,-52.1,154.8,-127.2,5.5,348.6
Alemania,Ciudad de México,124.1,246.2,156.0,202.2,6.8,-78.9,248.8,77.2,273.3,61.7,468.7,155.6,435.1,480.3,160.2,462.3,239.3,164.8,"3,883.6"
Alemania,Coahuila de Zaragoza,37.4,43.9,24.1,4.4,3.0,4.6,4.3,18.6,22.2,49.8,13.9,116.6,284.7,141.3,77.4,226.5,-8.5,33.5,"1,097.7"
Alemania,Colima,C,-1.9,1.5,1.8,-0.5,C,C,C,C,0.0,C,0.8,0.3,0.8,0.1,0.2,0.2,C,7.0
Alemania,Durango,C,0.0,C,0.0,0.0,C,0.0,C,C,C,C,C,C,C,C,6.7,C,C,10.0
Alemania,Estado de México,101.0,60.5,51.9,-57.4,56.8,127.7,267.5,481.0,231.1,-158.0,436.2,357.6,437.3,415.2,151.3,286.6,53.4,127.0,"3,426.7"
Alemania,Guanajuato,0.1,38.6,100.0,30.3,47.5,72.9,37.5,160.0,42.2,56.7,158.4,274.1,220.3,62.4,60.5,162.5,-157.7,9.3,"1,375.5"
Alemania,Guerrero,0.0,C,0.0,0.0,0.0,C,C,0.0,0.0,C,0.1,0.8,1.3,3.0,C,0.5,C,C,6.4
Alemania,Hidalgo,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,19.1,3.5,-2.0,10.6,1.5,C,35.8
Alemania,Jalisco,38.5,77.8,178.7,86.6,179.3,106.2,138.4,-62.6,303.3,341.8,375.1,255.0,50.7,146.8,349.1,72.9,97.0,102.1,"2,836.6"
Alemania,Michoacán de Ocampo,C,C,C,C,C,-10.7,8.2,C,0.0,C,C,15.9,1.4,5.7,-0.6,0.6,2.1,C,74.2
Alemania,Morelos,C,1.6,C,0.5,8.2,0.2,-0.8,0.3,14.3,24.0,9.4,3.0,94.7,228.0,-58.8,126.9,-32.3,2.4,422.7
Alemania,Nayarit,7.4,6.3,C,C,2.3,C,C,-0.2,C,0.0,C,0.4,0.7,0.2,4.7,9.1,1.3,C,39.9
Alemania,Nuevo León,52.7,97.0,60.3,-144.5,43.6,84.7,74.2,33.5,49.1,27.2,141.6,48.9,108.3,198.3,105.5,198.4,-2.3,20.3,"1,196.8"
Alemania,Oaxaca,0.0,C,0.0,0.0,0.0,0.0,C,0.0,C,0.0,0.0,-0.1,1.8,4.0,-0.5,0.8,0.5,C,7.3
Alemania,Puebla,21.4,42.5,7.9,17.2,56.3,81.2,194.5,983.4,910.6,295.6,586.3,438.9,263.7,"1,349.0",-39.4,187.9,214.2,238.8,"5,850.1"
Alemania,Querétaro,49.7,44.5,46.3,19.9,23.5,111.4,75.0,41.9,2.2,40.2,49.4,278.9,256.8,49.2,-13.0,-9.5,-60.7,68.7,"1,074.3"
Alemania,Quintana Roo,0.5,0.6,4.5,0.0,0.6,9.9,5.5,2.8,0.8,129.7,3.2,9.9,6.8,4.7,-26.0,7.9,8.2,3.4,173.2
Alemania,San Luis Potosí,50.9,82.6,38.3,82.3,113.5,21.2,60.1,127.9,155.1,127.6,275.5,383.4,443.1,205.8,454.7,118.5,-272.0,251.5,"2,720.1"
Alemania,Sinaloa,1.5,0.5,0.2,0.0,0.0,0.0,0.9,C,0.0,C,2.0,6.2,4.7,9.2,-1.9,6.9,1.4,C,42.4
Alemania,Sonora,1.1,3.2,0.3,-8.0,13.5,2.7,7.9,5.3,8.8,-0.5,0.5,-1.4,1.4,14.9,-32.6,-21.2,39.1,-2.0,33.1
Alemania,Tabasco,C,0.0,0.0,C,0.0,3.3,2.0,C,C,0.1,C,-4.4,159.6,5.2,-0.4,-19.8,-7.1,C,138.5
Alemania,Tamaulipas,C,6.2,2.2,C,13.0,17.5,21.2,4.9,C,-4.8,15.2,20.3,19.2,9.4,2.4,-1.6,1.8,C,127.5
Alemania,Tlaxcala,C,C,3.1,C,C,C,C,5.1,10.5,-7.5,15.1,16.1,3.2,20.2,47.4,15.0,1.3,C,143.8
Alemania,Veracruz de Ignacio de la Llave,C,-6.8,5.6,7.1,-1.3,10.4,2.3,9.0,17.9,6.4,1.7,4.6,24.2,25.5,9.5,4.8,11.2,C,156.0
Alemania,Yucatán,0.7,-1.2,0.4,C,0.2,5.0,3.2,4.0,C,0.4,0.1,0.7,2.2,9.2,0.1,1.4,2.4,0.8,29.5
Alemania,Zacatecas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.6,-0.3,1.0,C,C,C,C,2.3
Argentina,Aguascalientes,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.9
Argentina,Baja California,0.4,1.5,0.0,0.0,0.0,1.7,1.2,-0.1,0.1,0.2,0.2,C,C,1.8,C,C,3.0,C,10.4
Argentina,Baja California Sur,C,0.4,0.0,C,0.3,0.3,1.0,C,C,0.3,0.2,0.8,1.0,0.6,0.7,0.1,0.7,C,7.0
Argentina,Campeche,0.0,0.0,0.0,0.0,C,C,C,C,C,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,C
Argentina,Chiapas,0.4,2.8,0.0,C,C,C,0.4,-0.3,C,C,C,C,C,C,C,C,C,C,6.3
Argentina,Chihuahua,0.1,0.9,0.0,0.0,0.2,0.0,0.2,-0.1,0.0,C,C,C,C,C,C,C,C,C,11.8
