Pais,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Alemania,170.8,146.3,39.9,110,152.5,55.5,218.5,46.9,136.7,84.7,288.2,84.7,84.9,111.4,306.9,547.9,203.2,482.7,134,706.8,326.8,741.7,712.4,479.3,491,429.9,582.1,809.4,742.3,273.8,657.1,606.5,"1,218.50","1,916.40","2,131.60","1,274.70","2,753.20","2,647.00","3,065.90","3,484.40","1,251.30","2,048.30",40.2,"1,258.90"
Argentina,,,,,,,,,,,,,,,5.9,-0.2,3.7,4.6,1.6,3.6,29,267.2,307.7,11.8,-163.5,"2,607.80",275.2,"1,926.80",113.2,9.1,-7.2,155,436.8,81.8,356.4,511.9,293.7,350,"1,095.20",614.7,663.5,-464.5,"2,321.30","1,739.60"
Australia,,,,,,,,,,,,,,,17.5,2.2,4.7,0.6,10.1,58.9,16.1,-11.7,-15.4,255.9,81.7,103.4,146.5,347.4,249.2,298.7,266.8,924,"1,164.00",413.4,598.2,929.8,296.7,"2,415.70",709.8,765.3,382.3,276.8,340.1,15.2
Austria,,,,,,,,,,,,,,,2.3,-0.1,0.4,0.6,5.7,12.5,9.1,78.6,50.2,32.7,32.5,56.7,140.9,104.5,43,-16.3,19.7,-1.8,22.2,7.8,4.8,71.5,50.1,95.5,115,173.7,36.8,70.9,29.1,0
Belgica,,,,,,,,,,,,,,,-7.1,54.1,1.7,46,29.9,120,6.6,10,73.4,276.5,344,435.6,486.1,698.8,836.8,606.3,179.1,385.1,-144.6,"13,322.60","1,269.40",826.4,"1,136.80","1,041.20",67.6,"1,348.00",296.2,48.9,49.8,3.4
Belice,,,,,,,,,,,,,,,0.3,0.2,0.3,0.1,0.2,0,0,0,1.2,0.1,0.2,1.1,0.6,0.1,0.1,0,0.4,0,0.6,15.9,0,0,2.3,0.3,0.2,-0.9,0.3,0.3,0,0
Brasil,,,,,,,,,,,,,,,1,17,0.9,3.4,-2,18.2,32.8,59.5,126,46.4,8.4,55.6,64.1,186.6,325,167.3,220.4,470.7,492.1,189.8,602.9,"1,145.30",936,-200.9,129.2,346.8,513.4,426.9,365.3,257.1
Canada,17.5,5.2,8.1,22.1,32.5,34.9,40.6,19.3,33.9,37.5,56,74.2,88.5,74.2,739.2,170.3,547.1,239.6,213.3,576.7,540.6,830.7,371.2,375.6,797.4,611.7,973,"1,684.80","4,545.60","2,154.40","1,969.60","1,335.20","1,465.00","5,107.60","2,982.00","1,223.00","2,585.60","3,929.30","4,805.50","3,131.10","3,420.00","3,286.80","3,696.10",831.3
Chile,,,,,,,,,,,,,,,2.6,8.5,3.5,43.2,6.9,6.3,3.8,8.5,33,13.9,35.2,34.9,54.2,34.5,40.3,47.2,87.1,63,28.3,242,44.8,125.6,13.5,34.8,90.4,-3.2,98.2,42.5,220.8,241.4
"China, Republica Popular de",,,,,,,,,,,,,,,1.5,5.4,10.2,4.9,11.1,23.7,11.1,3.1,1.6,25.6,12,19.7,29.8,15.8,33.4,75.7,52.6,53.6,108.8,55.6,100.9,53.3,83.3,115.4,276.8,121.1,177.6,406.8,296.5,2.2
Colombia,,,,,,,,,,,,,,,2.4,0.6,1.4,6.3,0.8,-2.1,14.1,15,23.4,11,40.7,41.6,115.1,482,48.7,38.3,63.6,226.7,61,87.4,100.2,127.6,186,55.3,-17.9,228.5,113.3,74,189,8.3
