Sector,Subsector,rama ,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total general
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",111 Agricultura,"1111 Cultivo de semillas oleaginosas, leguminosas y cereales",-1.0,-0.2,-3.5,0.0,0.0,0.0,0.0,3.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.2
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",111 Agricultura,1112 Cultivo de hortalizas,-4.3,2.4,28.9,0.1,12.0,3.0,20.0,87.2,19.4,28.1,49.6,48.9,8.7,37.8,15.6,26.0,145.4,0.0,532.7
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",111 Agricultura,1113 Cultivo de frutales y nueces,1.4,4.4,5.5,1.1,17.8,19.6,23.9,38.3,0.0,9.3,-1.2,1.5,0.0,3.2,10.3,-16.0,-4.9,0.0,129.7
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",111 Agricultura,"1114 Cultivo en invernaderos y otras estructuras agrícolas protegidas, y floricultura",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,27.2,0.0,0.0,0.0,30.9
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",111 Agricultura,1119 Otros cultivos,0.9,0.1,0.1,-0.1,0.5,9.5,0.5,3.1,40.3,0.0,0.1,0.0,6.3,11.7,17.1,-5.9,-37.1,0.0,46.9
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",112 Cría y explotación de animales,1121 Explotación de bovinos,0.9,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,-2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",112 Cría y explotación de animales,1122 Explotación de porcinos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.5
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",112 Cría y explotación de animales,1123 Explotación avícola,5.3,0.0,0.0,0.0,73.6,128.7,43.7,91.6,43.0,0.0,0.0,-64.6,0.0,30.8,0.0,0.0,106.6,0.0,866.8
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",112 Cría y explotación de animales,1124 Explotación de ovinos y caprinos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",112 Cría y explotación de animales,1125 Acuicultura,0.0,0.0,0.0,0.0,-12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8
